Date,Close Price,Moving Average (50 days)
24/07/2024,218.54,
23/07/2024,225.01,
22/07/2024,223.96,
19/07/2024,224.31,
18/07/2024,224.18,
17/07/2024,228.88,
16/07/2024,234.82,
15/07/2024,234.4,
12/07/2024,230.54,
11/07/2024,227.57,
10/07/2024,232.98,
09/07/2024,228.68,
08/07/2024,227.82,
05/07/2024,226.34,
03/07/2024,221.55,
02/07/2024,220.27,
01/07/2024,216.75,
28/06/2024,210.62,
27/06/2024,214.1,
26/06/2024,213.25,
25/06/2024,209.07,
24/06/2024,208.14,
21/06/2024,207.49,
20/06/2024,209.68,
18/06/2024,214.29,
17/06/2024,216.67,
14/06/2024,212.49,
13/06/2024,214.24,
12/06/2024,213.07,
11/06/2024,207.15,
10/06/2024,193.12,
07/06/2024,196.89,
06/06/2024,194.48,
05/06/2024,195.87,
04/06/2024,194.35,
03/06/2024,194.03,
31/05/2024,192.25,
30/05/2024,191.29,
29/05/2024,190.29,
28/05/2024,189.99,
24/05/2024,189.98,
23/05/2024,186.88,
22/05/2024,190.9,
21/05/2024,192.35,
20/05/2024,191.04,
17/05/2024,189.87,
16/05/2024,189.84,
15/05/2024,189.72,
14/05/2024,187.43,
13/05/2024,186.28,208.4742
10/05/2024,183.05,207.7644
09/05/2024,184.57,206.9556
08/05/2024,182.74,206.1312
07/05/2024,182.4,205.293
06/05/2024,181.71,204.4436
03/05/2024,183.38,203.5336
02/05/2024,173.03,202.2978
01/05/2024,169.3,200.9958
30/04/2024,170.33,199.7916
29/04/2024,173.5,198.7102
26/04/2024,169.3,197.4366
25/04/2024,169.89,196.2608
24/04/2024,169.02,195.0848
23/04/2024,166.9,193.896
22/04/2024,165.84,192.7818
19/04/2024,165,191.6764
18/04/2024,167.04,190.6822
17/04/2024,168,189.8298
16/04/2024,169.38,188.9354
15/04/2024,172.69,188.1242
12/04/2024,176.55,187.4738
11/04/2024,175.04,186.8118
10/04/2024,167.78,186.0176
09/04/2024,169.67,185.2174
08/04/2024,168.45,184.3006
05/04/2024,169.58,183.3588
04/04/2024,168.82,182.4854
03/04/2024,169.65,181.5936
02/04/2024,168.84,180.709
01/04/2024,170.03,179.9666
28/03/2024,171.48,179.5338
27/03/2024,173.31,179.0622
26/03/2024,169.71,178.5668
25/03/2024,170.85,178.0664
22/03/2024,172.28,177.625
21/03/2024,171.37,177.1718
20/03/2024,178.67,176.9002
19/03/2024,176.08,176.596
18/03/2024,173.72,176.2646
15/03/2024,172.62,175.9172
14/03/2024,173,175.5776
13/03/2024,171.13,175.2626
12/03/2024,173.23,174.9092
11/03/2024,172.75,174.5172
08/03/2024,170.73,174.111
07/03/2024,169,173.6936
06/03/2024,169.12,173.2792
05/03/2024,170.12,172.8872
04/03/2024,175.1,172.6406
01/03/2024,179.66,172.5082
